tile_id,column,row,x,y,label
A1,A,1,0,0,
B1,B,1,32,0,
C1,C,1,64,0,
D1,D,1,96,0,
E1,E,1,128,0,
F1,F,1,160,0,
G1,G,1,192,0,
H1,H,1,224,0,
I1,I,1,256,0,
J1,J,1,288,0,
K1,K,1,320,0,
L1,L,1,352,0,
A2,A,2,0,32,
B2,B,2,32,32,
C2,C,2,64,32,
D2,D,2,96,32,
E2,E,2,128,32,
F2,F,2,160,32,
G2,G,2,192,32,
H2,H,2,224,32,
I2,I,2,256,32,
J2,J,2,288,32,
K2,K,2,320,32,
L2,L,2,352,32,
A3,A,3,0,64,
B3,B,3,32,64,
C3,C,3,64,64,
D3,D,3,96,64,
E3,E,3,128,64,
F3,F,3,160,64,
G3,G,3,192,64,
H3,H,3,224,64,
I3,I,3,256,64,
J3,J,3,288,64,
K3,K,3,320,64,
L3,L,3,352,64,
A4,A,4,0,96,
B4,B,4,32,96,
C4,C,4,64,96,
D4,D,4,96,96,
E4,E,4,128,96,
F4,F,4,160,96,
G4,G,4,192,96,
H4,H,4,224,96,
I4,I,4,256,96,
J4,J,4,288,96,
K4,K,4,320,96,
L4,L,4,352,96,
A5,A,5,0,128,
B5,B,5,32,128,
C5,C,5,64,128,
D5,D,5,96,128,
E5,E,5,128,128,
F5,F,5,160,128,
G5,G,5,192,128,
H5,H,5,224,128,
I5,I,5,256,128,
J5,J,5,288,128,
K5,K,5,320,128,
L5,L,5,352,128,
